geoid,bgs_commuter,hh,stops,revenue_percent,transit_revenue,county_commuter,tran_commuter_percent,tran_revenue_bgs,transitcost_hh
484530018331,0.0,993.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530018513,0.0,1402.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530018514,26.0,878.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0013316261203585146,28887.6170452681,32.9016139467746
484910201131,12.0,638.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0051129100979974435,6200.018181799116,9.717896836675731
484910201132,0.0,257.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910205093,0.0,866.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910205092,0.0,421.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910206052,0.0,1102.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910206051,0.0,1524.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910203124,0.0,601.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910203122,24.0,1329.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.010225820195994887,12400.036363598232,9.330350913166464
484910204101,0.0,516.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910204103,0.0,272.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910203161,22.0,680.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.009373668512995313,11366.699999965047,16.715735294066246
484910203232,7.0,370.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.002982530890498509,3616.6772727161515,9.774803439773383
484530015013,0.0,449.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
482090106006,0.0,1301.0,22,0.009023789991796555,210060.1960623462,655.0,0.0,0.0,0.0
482090109025,0.0,458.0,22,0.009023789991796555,210060.1960623462,655.0,0.0,0.0,0.0
484530006043,29.0,611.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0014852752880921895,32220.80362741442,52.73453948840331
484530006042,33.0,668.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0016901408450704226,36665.052403609516,54.88780299941544
484530006041,0.0,548.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484910210003,0.0,264.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484530017412,0.0,531.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530013054,64.0,602.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0032778489116517284,71107.98041912148,118.11956880252737
484530018431,18.0,464.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0009218950064020486,19999.11949287792,43.101550631202414
484530017712,0.0,973.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484910206042,0.0,1079.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910208073,0.0,577.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910208071,0.0,335.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484910205061,0.0,912.0,127,0.052091878589007386,1212620.2227235439,2347.0,0.0,0.0,0.0
484530022084,1.0,686.0,2272,0.9319114027891715,21693489.338802297,19525.0,5.1216389244558256e-05,1111.062194048773,1.619624189575471
484530021061,0.0,402.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530018401,29.0,2530.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0014852752880921895,32220.80362741442,12.735495504906886
484530018042,44.0,871.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0022535211267605635,48886.736538146026,56.12713724241794
484530017282,26.0,502.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0013316261203585146,28887.6170452681,57.545053875036054
484530017422,0.0,1371.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530023122,67.0,955.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0034314980793854035,74441.16700126781,77.94886596991394
484530019102,14.0,343.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0007170294494238156,15554.870716682826,45.349477308113194
484530002053,37.0,279.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0018950064020486555,41109.30117980461,147.34516551901294
480219504002,0.0,869.0,7,0.002871205906480722,66837.33511074651,43.0,0.0,0.0,0.0
480219502003,0.0,482.0,7,0.002871205906480722,66837.33511074651,43.0,0.0,0.0,0.0
484530018472,39.0,2321.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.001997439180537772,43331.42556790215,18.669291498449873
480539601001,15.0,761.0,6,0.002461033634126333,57289.14438063987,23.0,0.6521739130434783,37362.485465634694,49.096564343803806
484530013053,0.0,792.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530004021,110.0,804.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.005633802816901409,122216.84134536506,152.01099669821525
484530016035,0.0,538.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0,0.0,0.0
484530017501,22.0,799.0,2272,0.9319114027891715,21693489.338802297,19525.0,0.0011267605633802818,24443.368269073013,30.592450899966224
