geoid,medincome,totpop,rent_cost,housing_mortgage,ave_housing_yearly,ave_housing_monthly
484530018331,76586.0,4588.0,1244.0,1742.0,17124.616314199397,1427.0513595166165
484530019193,147813.0,754.0,3043.0,2842.0,34969.55023923446,2914.129186602871
484530018233,31820.0,1648.0,1084.0,0.0,10575.2828438949,881.273570324575
484530024271,46071.0,1009.0,1330.0,1064.0,14273.088607594937,1189.4240506329113
484530017372,112010.0,5743.0,1368.0,2552.0,26213.54816112084,2184.46234676007
484530002063,53438.0,1260.0,1201.0,2231.0,15277.68093385214,1273.1400778210116
484530023141,0.0,538.0,1297.0,0.0,15564.0,1297.0
484530024302,0.0,35.0,0.0,0.0,0.0,0.0
484530018601,63291.0,1998.0,1121.0,1405.0,15415.770629370629,1284.6475524475525
484530024301,0.0,0.0,0.0,0.0,0.0,0.0
484530024092,76481.0,1276.0,1484.0,0.0,10712.09195402299,892.6743295019157
484530018231,44359.0,4287.0,1081.0,1405.0,13609.806741573033,1134.1505617977527
484530018221,38707.0,2553.0,983.0,919.0,11666.496644295301,972.2080536912752
484530017521,27212.0,1450.0,1053.0,0.0,12396.075949367088,1033.006329113924
484530018201,30653.0,2164.0,1037.0,1535.0,13459.788079470198,1121.6490066225165
484530018202,32546.0,2486.0,944.0,1420.0,11643.182962245884,970.2652468538237
484530018172,48194.0,1238.0,994.0,1961.0,17465.004807692305,1455.4170673076922
484530018224,29583.0,1499.0,983.0,0.0,11796.0,983.0
484530017162,126522.0,3719.0,1695.0,2963.0,28616.332129963896,2384.694344163658
484530017193,134975.0,1446.0,1448.0,3079.0,34897.312788906005,2908.1093990755007
484530015014,117431.0,1392.0,1793.0,2905.0,31907.189189189186,2658.932432432432
484530015031,61523.0,1488.0,1582.0,2321.0,21521.339055793993,1793.444921316166
484530003042,98088.0,1953.0,1600.0,2886.0,25230.663157894738,2102.555263157895
484530002031,74250.0,2334.0,1801.0,0.0,21612.0,1801.0
484530003051,101250.0,1528.0,1690.0,3000.0,28140.0,2345.0
484530003025,57269.0,1071.0,1230.0,3938.0,26514.983922829586,2209.581993569132
484530003071,94423.0,1820.0,1423.0,2553.0,24819.823529411762,2068.3186274509803
484530013071,45781.0,869.0,1085.0,2089.0,16356.04232804233,1363.0035273368608
484530015052,52273.0,1515.0,1150.0,1823.0,16532.564383561643,1377.713698630137
484530018123,41410.0,2684.0,1050.0,1536.0,14923.918781725886,1243.6598984771572
484530021131,61143.0,1964.0,1183.0,1755.0,17819.172413793105,1484.9310344827586
484530017531,75223.0,1255.0,1400.0,0.0,16536.86746987952,1378.0722891566265
484530018322,95298.0,874.0,0.0,1466.0,17132.678851174936,1427.7232375979113
484530018353,49623.0,3052.0,1177.0,1390.0,15072.50718512257,1256.042265426881
484530018392,67069.0,5217.0,1305.0,1811.0,17784.63393412057,1482.052827843381
484530017131,64063.0,1896.0,1326.0,1895.0,19353.18771331058,1612.7656427758818
