TAZ,HH15,HHSIZE15
2210,27,2.111111111
1392,27,2.333333333
1168,193,2.984455959
1151,55,2.381818182
1200,52,2.615384615
1367,45,1.844444444
2212,89,2.988764045
1184,245,2.591836735
1146,41,3.024390244
2192,255,3.564705882
1171,216,2.398148148
1383,132,2.818181818
1175,90,2.755555556
1173,87,3.459770115
1176,152,3.947368421
1160,33,2.272727273
1149,442,3.233031674
1382,17,3.235294118
1153,37,1
1370,27,3.481481481
1380,8,3.75
1205,195,1.98974359
1157,197,2.497461929
1159,156,3.08974359
1833,25,2.28
1187,114,2.456140351
1140,166,3.192771084
1170,277,2.642599278
1147,388,2.961340206
1372,37,2.864864865
1206,223,2.730941704
1756,21,5.904761905
1832,8,3
1156,256,2.38671875
1141,134,3.388059701
1376,70,2.185714286
2211,111,2.216216216
1132,356,2.238764045
1381,52,3.153846154
1182,249,2.526104418
1181,16,3
1202,40,2.625
1876,36,2.75
1834,7,2.571428571
1188,368,2.548913043
1189,429,1.983682984
1183,24,3.416666667
2191,98,2.469387755
1158,289,3.010380623
1152,239,3.556485356
621,755,2.740397351
2198,39,3.384615385
1210,4,1.5
1222,207,3.106280193
1831,43,2.302325581
1154,23,1.782608696
2351,0,0
2350,0,0
2349,0,0
1391,179,2.837988827
1150,468,2.679487179
1390,328,3.24695122
1212,460,3.030434783
2346,0,0
2348,0,0
2347,0,0
398,1650,3.294545455
598,119,5.974789916
2119,20,2.85
2121,7,3.142857143
595,49,2.367346939
599,42,2.976190476
1220,12,1.916666667
1214,243,3.041152263
1216,187,3.550802139
1218,17,2.823529412
1211,87,3.218390805
1209,693,2.852813853
1835,146,2.089041096
1223,147,2.217687075
1217,296,2.60472973
1224,407,2.899262899
1219,180,3.3
1226,72,2.833333333
1225,93,3.505376344
1213,40,3.95
1215,60,2.516666667
1357,133,2.691729323
626,242,3.123966942
1194,88,2.829545455
2193,7,2.857142857
1193,3,2
1811,19,3
1186,310,2.990322581
1185,154,2.220779221
1190,0,0
1178,4,3.25
1373,99,2.515151515
1257,164,2.512195122
1234,114,2.043859649
1230,156,2.544871795
1255,78,1.743589744
1258,67,1.895522388
1313,31,2.322580645
1311,87,2.551724138
1312,392,2.599489796
1303,14,2.214285714
1281,15,2.066666667
1282,34,2.676470588
1366,63,2.428571429
1266,24,2.791666667
1304,81,2.234567901
1310,13,2.384615385
1265,54,2.055555556
1264,177,3.813559322
1283,46,1.760869565
1232,47,2.659574468
1297,42,2.952380952
2357,0,0
2356,0,0
2205,18,5.555555556
1263,54,2.62962963
1241,18,2.666666667
2080,15,3.466666667
2066,16,3.6875
2084,394,2.233502538
2085,135,1.62962963
2088,510,2.254901961
2079,243,2.185185185
2081,70,2.157142857
1231,148,2.695945946
1314,166,2.518072289
1229,136,2.492647059
1233,119,3.075630252
1133,25,2.24
1142,114,2.947368421
1296,15,2.4
1459,939,3.848775293
830,96,3.25
805,0,0
2151,249,2.706827309
817,1433,2.900209351
1839,64,2.484375
831,104,2.634615385
736,401,3.092269327
1492,18,3.722222222
739,906,2.016556291
677,255,3.62745098
669,115,3.191304348
676,471,2.878980892
2146,81,2.209876543
754,84,2.119047619
753,96,2.770833333
2147,22,3.181818182
1079,166,1.855421687
1080,97,1.670103093
1816,135,2.348148148
684,439,2.567198178
737,427,2.587822014
922,208,1.865384615
683,55,2.727272727
682,135,1.762962963
921,801,2.012484395
2142,426,2.093896714
907,4,3.75
717,94,2.457446809
541,278,2.388489209
720,123,1.853658537
705,202,1.836633663
918,98,1.153061224
707,204,1.93627451
616,744,3.583333333
2197,8,2.625
1221,17,2.352941176
2194,123,3.211382114
1389,78,3.666666667
1180,15,4.733333333
1375,256,3.1875
1145,21,3.047619048
2113,727,3.115543329
1402,727,4.176066025
593,816,3.704656863
133,1171,3.620836892
2195,73,2.643835616
1207,333,2.606606607
619,121,2.785123967
1101,84,2.55952381
620,359,4.949860724
1098,101,3.514851485
4,936,2.267094017
1110,29,1.724137931
2187,146,2.47260274
1115,543,2.581952118
2186,142,2.049295775
1665,506,3.221343874
1484,11,1.545454545
564,29,1.896551724
617,103,3.194174757
618,694,3.318443804
561,39,2.666666667
1456,344,4.904069767
2234,0,0
2125,8,4.125
622,491,3.604887984
1099,145,4.786206897
2126,609,4.057471264
627,116,3.413793103
2110,0,0
2109,0,0
2108,0,0
166,2416,2.232615894
1166,234,2.504273504
1167,517,2.415860735
1371,169,2.857988166
1177,160,2.91875
1191,44,3.477272727
1155,287,1.944250871
1386,24,2
1161,231,3.398268398
1165,1020,2.52254902
1179,292,1.79109589
1169,66,2.333333333
1755,62,2.564516129
1174,23,4.173913043
1192,256,2.515625
1162,131,2.618320611
1163,14,1.5
1164,308,2.246753247
565,75,3.506666667
615,118,2.194915254
603,300,3.296666667
1374,146,2.698630137
1130,300,2.85
2354,0,0
1143,9,2
2353,0,0
2352,0,0
1144,114,2.51754386
1139,160,2.3125
1131,142,2.302816901
1385,56,2.214285714
1384,83,2.397590361
1138,87,2.16091954
1377,50,3.4
1379,196,2.785714286
1137,97,2.855670103
1378,257,3.097276265
1136,535,2.757009346
1135,11,2.909090909
1129,591,3.010152284
1829,21,2.238095238
1387,194,3.329896907
1172,515,2.885436893
1148,136,2.477941176
2077,22,2.727272727
2012,45,3.622222222
2010,19,3.157894737
2235,4,4.5
2009,21,4.428571429
421,3088,1.638601036
938,1671,3.027528426
636,13,2.076923077
1118,146,2.698630137
1117,41,2.829268293
869,52,2.269230769
942,91,2.769230769
2178,19,1.842105263
2128,7,1.714285714
635,109,2.899082569
937,5,2.2
2181,31,2.161290323
2180,36,3
2007,45,2.688888889
2008,31,5.290322581
2337,0,0
2336,0,0
2059,11,2.545454545
2082,87,3.045977011
2001,15,3
2060,51,2.411764706
2006,74,3.22972973
2388,0,0
2389,0,0
2390,0,0
2391,0,0
2334,0,0
2355,0,0
647,234,2.123931624
639,54,2.685185185
1738,123,3.130081301
1739,13,2.384615385
1014,66,2.893939394
1026,57,2.49122807
