geoid,all_vmt_hh,hh,carownership_expense_hh,driving_cost_year,vehicle,average_veh,veh_hh,transitcost_hh,medincome,totpop,rent_cost,housing_mortgage,ave_housing_yearly,ave_housing_monthly,combined H+T
484530019181,15340.852907814333,288.0,10515.6,3161.1679857557288,0.0,2.5,0.0,0.0,250001.0,641.0,0.0,4001.0,44844.54166666667,3737.0451388888887,58521.3096524224
484530019182,12512.34401251588,232.0,10515.6,2578.319573025808,0.0,2.5,0.0,0.0,183125.0,707.0,0.0,4001.0,42424.39655172415,3535.366379310345,55518.31612474996
484530019183,12836.581126255694,484.0,10515.6,2645.132545544829,804.0,2.5,1.6611570247933884,0.0,153750.0,1182.0,1297.0,4001.0,38760.29752066116,3230.0247933884298,51921.03006620599
484530019191,9774.148122328384,510.0,10515.6,2014.0812455479745,1230.0,2.5,2.411764705882353,0.0,200625.0,1508.0,3501.0,4001.0,47564.94117647059,3963.745098039216,60094.62242201856
484530019192,14952.328613348593,618.0,10515.6,3081.1078633665875,1350.0,2.5,2.184466019417476,0.0,192500.0,1683.0,1950.0,3939.0,44255.53398058252,3687.961165048544,57852.24184394911
484530019193,17466.59308866292,209.0,10515.6,3599.202418789775,491.0,2.5,2.349282296650718,0.0,147813.0,754.0,3043.0,2842.0,34969.55023923446,2914.129186602871,49084.35265802423
484530020021,6579.3678781295785,872.0,3691.95,1195.3134413443397,1481.0,1.5,1.698394495412844,0.0,71739.0,2005.0,1632.0,1498.0,18687.79816513761,1557.3165137614678,23575.061606481948
484530020022,2772.0142711869303,540.0,5488.619999999999,473.18924174307386,916.0,1.7,1.6962962962962962,248.96023237018807,81875.0,1395.0,1108.0,1657.0,16809.599999999995,1400.8,23020.369474113257
484530020031,13377.63600422169,653.0,5488.619999999999,2283.5933793522786,1311.0,1.7,2.007656967840735,71.46188690665923,65729.0,1734.0,1760.0,1575.0,19518.74425727412,1626.56202143951,27362.419523533055
484530020032,8687.9045192215,885.0,3691.95,1578.3840091175955,1198.0,1.5,1.3536723163841808,64.02731287738693,37740.0,2441.0,927.0,1293.0,11913.071186440677,992.7559322033898,17247.43250843566
484530020041,6192.916113187366,1546.0,3691.95,1125.1044185897113,1855.0,1.5,1.1998706338939198,63.242867449089296,57955.0,2346.0,1331.0,2236.0,16632.310478654592,1386.025873221216,21512.60776469339
484530020042,1385.6467928496627,318.0,2398.78,266.9445093295124,308.0,1.0,0.9685534591194968,66.3842191412789,35682.0,386.0,1086.0,0.0,12007.471698113208,1000.622641509434,14739.580426584
484530020051,8915.615722491848,1120.0,5488.619999999999,1521.9162062943265,1553.0,1.7,1.386607142857143,51.58503043797875,90231.0,2203.0,1649.0,2050.0,21682.725,1806.89375,28744.8462367323
484530020052,5898.474104008731,876.0,3691.95,1071.6113630581044,1049.0,1.5,1.197488584474886,86.24683698095501,70187.0,1423.0,1235.0,2927.0,17045.09589041096,1420.4246575342463,21894.90409045002
484530020053,5088.658912043788,760.0,3691.95,924.4873532914204,1463.0,1.5,1.925,0.0,71322.0,1934.0,1274.0,1475.0,15798.963157894736,1316.5802631578947,20415.400511186155
484530021041,7119.70152041615,737.0,5488.619999999999,1215.3495019490622,1283.0,1.7,1.7408412483039348,43.71886516609827,63789.0,2092.0,1168.0,1945.0,18734.93080054274,1561.2442333785616,25482.6191676579
484530021042,9152.431462998578,481.0,9040.395,1662.777420467805,936.0,2.1,1.945945945945946,23.099006113280105,106658.0,1212.0,1833.0,1943.0,23217.20582120582,1934.767151767152,33943.477247786905
484530021051,9723.603226808586,664.0,5488.619999999999,1659.8415404022955,1053.0,1.7,1.585843373493976,16.732864368204414,53966.0,1740.0,1127.0,1914.0,15628.987951807228,1302.4156626506024,22794.182356577727
484530021052,9970.921298313891,1153.0,2398.78,1920.8955032961048,0.0,1.0,0.0,159.9621198717228,29389.0,2831.0,1042.0,0.0,12297.94969644406,1024.8291413703382,16777.58731961189
484530021053,6586.503489464964,282.0,2398.78,1268.8882558421997,444.0,1.0,1.574468085106383,0.0,59219.0,519.0,1286.0,2056.0,20576.25531914893,1714.6879432624112,24243.92357499113
484530021061,8535.624706307446,402.0,9040.395,1550.71841713472,881.0,2.1,2.191542288557214,0.0,78864.0,1089.0,0.0,1939.0,13081.014925373136,1090.084577114428,23672.128342507858
484530021062,6139.052007802805,359.0,9040.395,1115.318601720256,657.0,2.1,1.83008356545961,0.0,67344.0,1065.0,2039.0,1895.0,23413.871866295267,1951.1559888579388,33569.585468015524
484530021063,5393.452031273667,396.0,10515.6,1111.3859181380185,0.0,2.5,0.0,0.0,105385.0,933.0,0.0,1734.0,19441.81818181818,1620.151515151515,31068.8040999562
484530021071,9841.224683639995,392.0,5488.619999999999,1679.9197948865117,721.0,1.7,1.8392857142857144,39.680792644599045,58571.0,1141.0,1133.0,1563.0,16149.673469387755,1345.8061224489795,23357.894056918863
484530021072,4548.607641144276,386.0,5488.619999999999,776.4578353985929,667.0,1.7,1.7279792746113989,0.0,52604.0,1220.0,968.0,2115.0,20459.191709844563,1704.932642487047,26724.269545243154
484530021073,7074.155484394009,374.0,9040.395,1285.2044897449648,673.0,2.1,1.799465240641711,207.9528170679522,80938.0,1103.0,1319.0,2077.0,22759.44385026738,1896.620320855615,33292.9961570803
484530021074,12855.893736277603,442.0,3691.95,2335.607746535628,883.0,1.5,1.997737556561086,42.7331613095682,55227.0,1524.0,878.0,1718.0,14367.31221719457,1197.2760180995474,20437.603125039765
484530021081,10707.394745730144,964.0,5488.619999999999,1827.777026056354,1366.0,1.7,1.4170124481327802,108.34008946118745,47254.0,2770.0,1076.0,1780.0,16601.427385892115,1383.4522821576763,24026.164501409658
484530021082,8598.024437198805,532.0,3691.95,1562.05495256674,635.0,1.5,1.193609022556391,139.92700564148083,32313.0,1312.0,953.0,1854.0,14240.616541353384,1186.718045112782,19634.548499561606
484530021091,9909.506675105453,341.0,5488.619999999999,1691.5756886176837,684.0,1.7,2.005865102639296,159.65409826507295,63125.0,1127.0,1490.0,1276.0,16208.164222873898,1350.6803519061584,23548.014009756655
484530021092,12290.794695298988,609.0,9040.395,2232.942795755499,1040.0,2.1,1.7077175697865352,40.13689370947949,70573.0,1498.0,1583.0,1825.0,20831.86206896552,1735.9885057471265,32145.3367584305
484530021093,15450.114007296492,661.0,3691.95,2806.915388423921,813.0,1.5,1.2299546142208777,84.04403888417346,36713.0,1618.0,825.0,1447.0,13219.842662632374,1101.6535552193643,19802.75208994047
484530021101,9420.808743209986,1005.0,3691.95,1711.5351394964805,1864.0,1.5,1.854726368159204,144.82502230884506,45471.0,3055.0,1220.0,1470.0,16034.02985074627,1336.169154228856,21582.340012551595
484530021102,8557.730678742377,361.0,5488.619999999999,1460.8244023150896,636.0,1.7,1.7617728531855956,61.55469219106776,65048.0,1166.0,1662.0,1881.0,21967.7783933518,1830.6481994459837,28978.77748785796
