geoid,county,rent_cost,housing_mortgage,medincome,commuter,pop_housing,totpop,HHsize,HH,HousingUnits,OwnerUnits,RentalUnits,vehicle,public_transit,drivealone
482090103042,209,688,0,23221,341,904,904,2.64,342,342,0,342,413.0,36,237
482090103043,209,958,0,37067,1977,3722,3722,2.38,1565,1735,147,1418,2330.0,50,1466
482090103044,209,976,0,28205,1192,1279,2005,1.74,735,768,130,605,,19,932
482090104001,209,0,1169,57300,417,737,737,2.77,266,306,242,24,,0,350
482090104002,209,1183,1386,41646,1973,3181,3292,2.21,1442,1594,328,1114,2243.0,55,1647
482090104003,209,1442,1374,53515,3946,7984,8110,3.11,2565,2577,1268,1297,4952.0,91,3334
482090105001,209,1077,735,45186,1461,2872,2872,2.28,1261,1383,192,1069,1774.0,0,1178
482090105002,209,1096,761,41964,1286,2272,2272,3.05,746,879,330,416,1326.0,0,995
482090106001,209,1037,0,37782,876,1064,1132,1.94,548,548,34,514,,0,701
482090106002,209,1760,1790,0,487,1620,1620,2.96,548,548,204,344,1379.0,0,322
482090106003,209,0,1212,82321,1008,1612,1612,3.51,459,459,263,196,1317.0,0,547
482090106004,209,869,1606,70708,1458,2921,2929,2.37,1235,1370,944,291,2524.0,0,1267
482090106005,209,0,1670,79726,687,1806,1806,2.91,620,620,574,46,,0,613
482090106006,209,924,2253,85516,1715,3007,3007,2.31,1301,1353,1005,296,2823.0,0,1489
482090107011,209,1155,1215,47120,1327,2657,2665,3.45,771,829,320,451,1478.0,11,834
482090107012,209,1103,0,20632,537,649,649,2.03,319,319,39,280,388.0,0,260
482090107013,209,951,2150,33413,2339,3430,3624,2.2,1557,1844,192,1365,2863.0,42,1926
482090107014,209,1570,2129,62803,1124,1739,1739,2.31,752,864,289,463,1469.0,23,866
482090107021,209,711,1750,38241,739,1522,1575,2.98,510,607,187,323,1050.0,50,531
482090107022,209,797,1299,75329,685,1318,1318,2.61,505,614,429,76,1135.0,0,527
482090108031,209,641,1443,55174,828,1853,1853,2.33,796,935,584,212,1716.0,0,658
482090108032,209,835,2076,88078,756,1751,1751,2.51,697,887,563,134,1580.0,0,567
482090108033,209,1539,2087,94531,362,993,1001,2.41,412,460,328,84,941.0,0,326
482090108041,209,0,1470,83385,961,1739,1739,2.39,727,997,646,81,,0,780
482090108042,209,1178,3029,147235,1390,2640,2731,2.66,991,1122,932,59,2312.0,0,873
482090108043,209,1669,1389,64955,1360,2952,2952,2.5,1181,1374,1012,169,2333.0,0,1105
482090108044,209,1380,1593,67935,1182,2037,2037,2.57,794,897,655,139,1709.0,0,941
482090108051,209,1446,3038,154135,1461,3447,3447,3.43,1005,1021,876,129,2069.0,0,1011
482090108052,209,1393,2876,126000,814,1767,1767,3.14,562,564,543,19,1399.0,1,616
482090108053,209,0,3206,138833,633,1151,1151,2.51,458,458,447,11,,0,454
482090108054,209,0,2968,148188,1092,2891,2891,3.18,909,909,870,39,,15,796
482090108061,209,1279,3092,103295,841,1526,1526,3.22,474,490,340,134,1061.0,0,635
482090108062,209,823,2802,100673,1722,3228,3262,2.86,1129,1221,980,149,2724.0,0,1398
482090108071,209,1380,2820,103438,1084,1968,2030,2.83,695,755,509,186,1638.0,0,809
482090108072,209,920,3006,77083,287,637,637,2.42,263,313,235,28,552.0,0,204
482090108081,209,0,2760,108848,727,1490,1490,2.68,555,631,490,65,1366.0,0,515
482090108082,209,1412,2313,118852,1033,2372,2380,2.97,800,872,613,187,1852.0,16,776
482090108083,209,1160,1852,73158,1212,2198,2198,2.67,822,858,669,153,1696.0,0,881
482090108091,209,1551,2488,128235,1808,3675,3675,2.86,1284,1284,1194,90,3358.0,0,1373
482090108092,209,2536,2775,151181,1341,2167,2167,2.85,761,804,670,91,2008.0,0,868
482090109011,209,0,2998,134412,1316,2796,2796,2.8,998,998,940,58,,0,923
482090109012,209,0,1675,80656,868,2021,2021,2.43,831,847,831,0,1820.0,0,675
482090109013,209,1723,2504,91750,1103,2549,2549,2.76,922,969,875,47,2347.0,0,818
482090109014,209,0,1805,130104,506,944,944,3.59,263,263,244,19,,0,417
482090109021,209,0,2854,108366,963,1894,1894,2.82,671,671,671,0,1707.0,0,722
482090109022,209,1430,1789,71169,3144,5436,5436,2.6,2088,2178,693,1395,3799.0,0,2878
482090109023,209,1205,2026,72088,1289,2331,2336,2.81,829,860,634,195,1630.0,0,1168
482090109024,209,2054,2211,123476,3514,7204,7204,3.25,2218,2218,2111,107,4420.0,0,3153
