geoid,hbw_vmthh_bgs_day,hbnw_vmthh_bgs_day,tot_vmthh_bgs_day,hbw_vmthh_bgs_year,hbnw_vmthh_bgs_year,tot_vmthh_bgs_year
480219508011,42.325585485366936,79.4865510995871,121.81213658495405,13688.094345967667,25705.950625606467,39394.04497157414
480219508012,80.80256272723109,100.03963351721197,180.84219624444304,26131.54878598653,32352.81747946635,58484.36626545289
480219508013,35.31098874054603,56.02219313510449,91.33318187565051,11419.573758692588,18117.57725989279,29537.151018585377
480219508021,38.01835390809593,70.88602708135042,108.90438098944635,12295.135653878224,22924.541158108725,35219.676811986945
480219508022,92.58765121858569,131.05334406556824,223.64098567862763,29942.846404090607,42382.65147080477,72325.49476846818
480219508023,61.05400993806754,55.59388257943276,114.74538319767808,19744.866813971043,17979.06162618855,37108.65692612909
480539601001,40.97138320812717,84.76167923500826,122.61851391770706,13250.145329508327,27411.92706460167,39654.82740098646
480539601002,35.126302487821974,49.40075043720385,84.19352000003003,11359.846224561627,15976.202691391723,27228.18436800971
480539601003,35.0325794835757,50.89958546923134,84.35118095109671,11329.53620498838,16460.925940749417,27279.171919584678
480539602001,37.371625739806234,68.94947518655883,106.32110092636506,12085.983764253335,22298.260275333127,34384.24403958646
480539602002,15.623407016838579,30.46193414051359,44.44517833604235,5052.609829245596,9851.389501042095,14373.570673876096
480539603001,13.691462485196475,29.444933873689624,43.1363963588861,4427.81896771254,9522.491614751225,13950.310582463764
480539603002,10.044749719044328,20.038254490839467,30.083004209883793,3248.472059138935,6480.3715023374825,9728.843561476417
480539603003,23.277578852277486,44.94066751168359,68.21824636396107,7527.969000826539,14533.811873278473,22061.78087410501
480539603004,22.473509449127405,58.91126246678417,81.3847719159116,7267.932955847805,19051.902281758004,26319.835237605806
480539603005,16.55894929276357,51.2917872492034,67.85073654196698,5355.164201279738,16587.76399639238,21942.92819767212
480539604001,27.63857671779352,49.1202535744999,76.75882273353024,8938.315710534423,15885.490005993266,24823.803272023677
480539604002,28.760095330303944,59.84017296764234,88.60026829794627,9301.014829820297,19352.31193773553,28653.326767555824
